,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
1,1.16305E+18,1.16305E+18,8/18/2019,lowerdepression," mood can be caused by infectious diseases, nutritional deficiencies, neurological conditions, and physiological problems.",['#depressed'],"#Depressed mood can be caused by infectious diseases, nutritional deficiencies, neurological conditions, and physiological problems.",0
6,1.16303E+18,1.16303E+18,8/18/2019,chrisbontheweb,"With all of this unnessary  family drama, I feel like moving far away and starting over again. From one thing to another I just feel . Hope I get through this",['#depressed'],"With all of this unnessary  family drama, I feel like moving far away and starting over again. From one thing to another I just feel #depressed. Hope I get through this",1
11,1.16302E+18,1.16302E+18,8/18/2019,wildfoxtherapy,"I'm going to keep banging on about this, cos it's true. What you focus on, you get more of. Stop telling yourself you're  or . Tell yourself you're happy, strong, confident, powerful. Not only cos you ARE, but cos your brilliant mind listens to what you tell it. pic.twitter.com/gBQn7yEjsJ","['#depressed', '#anxious']","I'm going to keep banging on about this, cos it's true. What you focus on, you get more of. Stop telling yourself you're #depressed or #anxious. Tell yourself you're happy, strong, confident, powerful. Not only cos you ARE, but cos your brilliant mind listens to what you tell it. pic.twitter.com/gBQn7yEjsJ",0
14,1.16301E+18,1.16301E+18,8/18/2019,simonblue16,Ugh. Woke up to the same acne covered face this morning... Yyayyy????,"['#skin', '#sundaythoughts', '#depressed']",Ugh. Woke up to the same acne covered face this morning... Yyayyy???? #skin #SundayThoughts #depressed,0
16,1.163E+18,1.163E+18,8/18/2019,puffpuffnpass1,Portable Transparent Tobacco Rolling Machine  pic.twitter.com/k7Sb0Q11fW,"['#stoner', '#instahookah', '#depressed']",#stoner #instahookah #depressed Portable Transparent Tobacco Rolling Machine  pic.twitter.com/k7Sb0Q11fW,0
18,1.16299E+18,1.16299E+18,8/18/2019,lowerdepression,Certain medications are known to cause  mood in a significant number of patients.,['#depressed'],Certain medications are known to cause #depressed mood in a significant number of patients.,0
23,1.16298E+18,1.16298E+18,8/18/2019,bobymcboby,"I feel so sad because i can't be happy, and that makes me more unhappy  ",['#depressed'],"I feel so sad because i can't be happy, and that makes me more unhappy  #depressed",1
27,1.16296E+18,1.16296E+18,8/18/2019,depressedaunty,I went to church with my mom and a huge chunk of the sermon was basically “if you’re  it’s because your faith is weak” and ... this is why I don’t go to church or tell my mom I’m on antidepressants ???????,"['#depressed', '#itsoknottobeok']",I went to church with my mom and a huge chunk of the sermon was basically “if you’re #depressed it’s because your faith is weak” and ... this is why I don’t go to church or tell my mom I’m on antidepressants ??????? #ItsOkNotToBeOk,1
38,1.16291E+18,1.16291E+18,8/18/2019,joshstebbins2,No love here....    pic.twitter.com/FuvBXIPRnu,"['#lonely', '#depressed']",No love here.... #lonely #depressed  pic.twitter.com/FuvBXIPRnu,1
39,1.16291E+18,1.16291E+18,8/18/2019,hokey_hoke18,I see so many people moving forward with their life and doing great things and here I am doing absolutely nothing????????    pic.twitter.com/yiiq7LQqk7,"['#suicidal', '#depressed', '#depression']",I see so many people moving forward with their life and doing great things and here I am doing absolutely nothing???????? #suicidal #depressed #depression pic.twitter.com/yiiq7LQqk7,1
40,1.1629E+18,1.1629E+18,8/18/2019,ericsequeira,Didn’t get to live through the  but I’ve sure been to a lot of steak and shakes,"['#greatdepression', '#depressed', '#livingmybestlife']",Didn’t get to live through the #GreatDepression but I’ve sure been to a lot of steak and shakes #depressed #livingmybestlife,0
42,1.1629E+18,1.1629E+18,8/18/2019,hunterwastaken,bro why is everyone so  and blacked out? i was gone for 5 hours and all hell broke loose,['#depressed'],bro why is everyone so #depressed and blacked out? i was gone for 5 hours and all hell broke loose,0
51,1.16287E+18,1.16287E+18,8/17/2019,rimrod007,So I’m trying to help myself. To understand my depression. I’m reading a book named The Chimp Paradox. Amazing book but I’ve a lot of therapy to do ?? Brain training. I’ll get happy.,"['#depression', '#depressed', '#paranoia']",So I’m trying to help myself. To understand my depression. I’m reading a book named The Chimp Paradox. Amazing book but I’ve a lot of therapy to do ?? Brain training. I’ll get happy.#depression #depressed #Paranoia,1
53,1.16287E+18,1.16287E+18,8/17/2019,lowlifekev,i just need for someone to rub my head tonight ...,['#depressed'],ima just need for someone to rub my head tonight ... #depressed,1
55,1.16287E+18,1.16287E+18,8/17/2019,celerglersk,There days where I wanna end my life so bad because of my little sister. My parent I call her names and I am spoiled the one but yet she get everything and goes into my room takes everything. She the one that I am scared also who hurts me the most. .,"['#feelingscared', '#depressed']",There days where I wanna end my life so bad because of my little sister. My parent I call her names and I am spoiled the one but yet she get everything and goes into my room takes everything. She the one that I am scared also who hurts me the most.#feelingscared #depressed.,1
62,1.16286E+18,1.16286E+18,8/17/2019,wildfoxtherapy,Your inner bitch will do all she can to convince you that everything is hopeless and you are beyond . She loves you being  cos she has a captive audience to listen to her negativity. Don't fall for her BS! Nothing is ever as hopeless as she makes out.  pic.twitter.com/dBXeDgF3eR,"['#help', '#depressed', '#depression']",Your inner b*tch will do all she can to convince you that everything is hopeless and you are beyond #help. She loves you being #depressed cos she has a captive audience to listen to her negativity. Don't fall for her BS! Nothing is ever as hopeless as she makes out. #depression pic.twitter.com/dBXeDgF3eR,0
68,1.16284E+18,1.16284E+18,8/17/2019,epicgabe,Well i guess no clockwork for me ????,['#depressed'],Well i guess no clockwork for me ???? #depressed,1
73,1.16283E+18,1.16283E+18,8/17/2019,samanthajoule,"""It's all pointless.."" - a statement a  brain would make. Non-depressed brains would probably never come up with it, no matter how bad life was. Ultimately life does look pointless. But we're here. You & I. Alive. Now. Please grab onto life & hold on. ","['#depressed', '#depression']","""It's all pointless.."" - a statement a #depressed brain would make. Non-depressed brains would probably never come up with it, no matter how bad life was. Ultimately life does look pointless. But we're here. You & I. Alive. Now. Please grab onto life & hold on. #depression",0
79,1.16282E+18,1.16282E+18,8/17/2019,al__zaainn,Have you ever danced till you fainted! It has a great feeling especially when you feel depressed ,"['#dance', '#depressed']",Have you ever danced till you fainted! It has a great feeling especially when you feel depressed  #dance #depressed  pic.twitter.com/D8IWLZ7OqY,0
84,1.16278E+18,1.16278E+18,8/17/2019,janusha61949990,"You keep losing your self respect , if u keep giving them chances.??   ","['#broken', '#sad', '#depressed']","You keep losing your self respect , if u keep giving them chances.?? #Broken #Sad #depressed",0
