,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
1681,1.16E+18,1.16E+18,8/17/2019,samplergal1,"Looking for some beautiful images. Having a really crappy week, and need some support. . Post some great beauty.  Thank you.",['#depression'],"Looking for some beautiful images. Having a really crappy week, and need some support. #depression. Post some great beauty.  Thank you.",1
1709,1.16E+18,1.16E+18,8/17/2019,focusbalance,"When teens feel down, there are ways they can cope with these feelings to avoid serious , such as make new friends or social connections and participate in sports or school activities. Call Focus & Balance at 210-858-9980 to learn more and see how we can help.  pic.twitter.com/ydrYcTBD2r",['#depression'],"When teens feel down, there are ways they can cope with these feelings to avoid serious #depression, such as make new friends or social connections and participate in sports or school activities. Call Focus & Balance at 210-858-9980 to learn more and see how we can help.  pic.twitter.com/ydrYcTBD2r",0
1718,1.16E+18,1.16E+18,8/17/2019,paigerwaiger_,"All up in my  feels, today... fuckkkk  pic.twitter.com/gNza4Pzn0p",['#depression'],"All up in my #depression feels, today... fuckkkk  pic.twitter.com/gNza4Pzn0p",1
1719,1.16E+18,1.16E+18,8/17/2019,kerrymthompson,A word that not many people understand. A word that many people fear.  A word that should be spoken about more freely. A word that shouldn't hold any shame.  A word with no jokey come backs.  DEPRESSION it's not a swear word.  It's ok not to be ok,"['#depression', '#depressionisreal']",#depression  A word that not many people understand. A word that many people fear.  A word that should be spoken about more freely. A word that shouldn't hold any shame.  A word with no jokey come backs.  DEPRESSION it's not a swear word.  It's ok not to be ok #DepressionIsReal,0
1738,1.16E+18,1.16E+18,8/17/2019,sarita1548,Why is my life so cruel?????,['#depression'],Why is my life so cruel????? #depression,1
1740,1.16E+18,1.16E+18,8/17/2019,iamngoma,only exists in a brain that ACCEPTS IT????  pic.twitter.com/bfLLvZRwmn,"['#depression', '#wallpaper']",#Depression only exists in a brain that ACCEPTS IT???? #WALLPAPER pic.twitter.com/bfLLvZRwmn,0
1746,1.16E+18,1.16E+18,8/17/2019,marca34_,"when you care about someone and trying to help them, just hope they listen and keep positive thoughts. When they’re in “depressed”  wish I can help her. Talk with her make her smile",['#depression'],"when you care about someone and trying to help them, just hope they listen and keep positive thoughts. When they’re in “depressed” #depression wish I can help her. Talk with her make her smile",0
1748,1.16E+18,1.16E+18,8/17/2019,turnupyourlove,Some thoughts on  about a month into my latest episode ????  pic.twitter.com/P6I7bMMBFc,['#depression'],Some thoughts on #depression about a month into my latest episode ????  pic.twitter.com/P6I7bMMBFc,0
1754,1.16E+18,1.16E+18,8/17/2019,allevin18,"If someone has the courage & trust to share their struggles of  or  ideation with you, PLEASE, please be there to listen & support  them! You may be the only person with whom they've been able to open up to. It's not easy to reach out!","['#depression', '#suicide']","If someone has the courage & trust to share their struggles of #depression or #suicide ideation with you, PLEASE, please be there to listen & support  them! You may be the only person with whom they've been able to open up to. It's not easy to reach out!",0
1756,1.16E+18,1.16E+18,8/17/2019,tracycarranza1,"Always here, right? I'd like to see five of my friends post this message (Not share) to show u are always there if someone needs to talk. I think I know who will. ????  kills ????",['#depression'],"Always here, right? I'd like to see five of my friends post this message (Not share) to show u are always there if someone needs to talk. I think I know who will. ???? #depression kills ????",1
1764,1.16E+18,1.16E+18,8/17/2019,depressiveflam,"???????????? ???? ???????????????????????????? ???? ???????? ?? ???????????????? ???? ?????? ?????? ??????????????, ?? ???? ?????? ?????? ?????? ??????. ",['#depression'],"???????????? ???? ???????????????????????????? ???? ???????? ?? ???????????????? ???? ?????? ?????? ??????????????, ?? ???? ?????? ?????? ?????? ??????. #depression",0
1775,1.16E+18,1.16E+18,8/17/2019,jalk43314443,Heal me????     pic.twitter.com/L8QPWAbvZO,"['#art', '#watercolor', '#depression']",Heal me???? #art #watercolor #depression  pic.twitter.com/L8QPWAbvZO,0
1792,1.16E+18,1.16E+18,8/17/2019,fedprac," & : Depression affects many older adults receiving home care, but often is not properly treated.  pic.twitter.com/pusuXIK4gp","['#geriatrics', '#depression']","#Geriatrics & #Depression: Depression affects many older adults receiving home care, but often is not properly treated.  pic.twitter.com/pusuXIK4gp",0
1793,1.16E+18,1.16E+18,8/17/2019,synctuition,"Depression may carry a feeling of worthlessness in which you feel like you can't do anything. This only makes you feel worse about yourself and drags you into an even deeper state of . To push back, set small daily  for yourself that you can accomplish for sure! pic.twitter.com/VhC03lIbpW","['#depression', '#goals']","Depression may carry a feeling of worthlessness in which you feel like you can't do anything. This only makes you feel worse about yourself and drags you into an even deeper state of #depression. To push back, set small daily #goals for yourself that you can accomplish for sure! pic.twitter.com/VhC03lIbpW",0
1809,1.16E+18,1.16E+18,8/17/2019,l0anranger,"If you’re feeling depressed know that your not alone. Know I see u, I hear u and I support you. Know that I am masters level trained therapist. Know that while it’s ok to pray it’s ok to seek Professional help too. Know that Black people men and women are not immune.   pic.twitter.com/91hb9sz8se",['#depression'],"If you’re feeling depressed know that your not alone. Know I see u, I hear u and I support you. Know that I am masters level trained therapist. Know that while it’s ok to pray it’s ok to seek Professional help too. Know that Black people men and women are not immune. #depression  pic.twitter.com/91hb9sz8se",0
