,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
462,6.81331E+17,6.81331E+17,12/28/2015,siradjames,Why is tomorrow Monday???  &  LOL,"['#sad', '#depressed']",Why is tomorrow Monday??? #Sad & #Depressed LOL,0
465,6.81323E+17,6.81323E+17,12/28/2015,angel_is_dead,I feel like I'm annoying like Always…,"['#depressed', '#selfhate']",I feel like I'm annoying like Always… #depressed #selfhate,1
468,6.81308E+17,6.81306E+17,12/28/2015,skinandbones666,@poptartiero eXactly. Like ain't nobody wanna see that when looking at  or,"['#depressed', '#clashofclans']",@poptartiero eXactly. Like ain't nobody wanna see that when looking at #depressed or #clashofclans,0
469,6.81305E+17,6.81305E+17,12/28/2015,_jasminricki,The red cups at Starbucks are gone.,['#depressed'],The red cups at Starbucks are gone. #depressed,0
475,6.81279E+17,6.81279E+17,12/28/2015,bneum22,Packer nation right now...   ,['#depressed'],Packer nation right now... #depressed  pic.twitter.com/44m5D5tU8a,0
476,6.81277E+17,6.81277E+17,12/28/2015,bzerlou,"Thanks to the Giants, I'm going to suffer from serious playoff FOMO come January.. I don't even want to watch their game tonight. ",['#depressed'],"Thanks to the Giants, I'm going to suffer from serious playoff FOMO come January.. I don't even want to watch their game tonight. #depressed",0
480,6.81268E+17,6.81268E+17,12/28/2015,abssters,"Annoyed, sad, disappointed. Can anything go right lately.?   ","['#depressed', '#sad', '#done']","Annoyed, sad, disappointed. Can anything go right lately.? #depressed #sad #done",1
487,6.81254E+17,6.81254E+17,12/27/2015,jjadeross,cant believe im back at work tomorrow!,['#depressed'],cant believe im back at work tomorrow! #depressed,0
488,6.81252E+17,6.81252E+17,12/27/2015,mayamo534,I wanna die. Stop to cry.,['#depressed'],I wanna die. Stop to cry. #depressed,1
491,6.81249E+17,6.81249E+17,12/27/2015,clarkrenney,My God we live in a sick world!   ,['#depressed'],My God we live in a sick world! #depressed  pic.twitter.com/lgVTTJWkrK,1
495,6.81247E+17,6.81247E+17,12/27/2015,aboura195,I'm gonna die because of my fucking finals,"['#fuckfinals', '#hate', '#depressed']",I'm gonna die because of my fucking finals #fuckfinals #hate #depressed,0
496,6.81244E+17,6.81244E+17,12/27/2015,didihirsch,"Feeling lost, , or having thoughts of ? Help is available. Call us 24/7 at (800) 273-TALK (8255). ","['#depressed', '#suicide']","Feeling lost, #depressed, or having thoughts of #suicide? Help is available. Call us 24/7 at (800) 273-TALK (8255). pic.twitter.com/X1OFz8hDTM",0
497,6.81235E+17,6.81235E+17,12/27/2015,_charlhamilton,Being on FaceTime to Chloe when sum1 dies on prison break and she goes into a full on emotional breakdown hahaha,"['#depressed', '#prayforchloe']",Being on FaceTime to Chloe when sum1 dies on prison break and she goes into a full on emotional breakdown hahaha #depressed #prayforchloe,0
502,6.81231E+17,6.81231E+17,12/27/2015,litsapappas,Both the Pats and Panthers lose ?????? and my vacation just ended.,['#depressed'],Both the Pats and Panthers lose ?????? and my vacation just ended. #depressed,0
